Serratia marcescens
Stenotrophomonas maltophilia_AM
Pseudomonas_E monteilii
Escherichia ruysiae
Vibrio diabolicus
Pseudomonas_E paracarnis
Neisseria polysaccharea
Clostridium cagae
Burkholderia stagnalis
Borreliella garinii
Providencia_C stuartii
Staphylococcus coagulans
Citrobacter_A sedlakii
Citrobacter_A farmeri
Stenotrophomonas geniculata
Pseudomonas_E fulva
Enterococcus_D casseliflavus
Pseudosulfitobacter pseudonitzschiae
Synechocystis sp000284455
Acinetobacter baylyi
Campylobacter_D jejuni_A
Streptococcus gordonii
Bacillus pumilus
Gallibacterium anatis
Yersinia ruckeri
Lactococcus cremoris
Streptococcus iniae
Histophilus somni
Bacteroides stercoris
Macrococcus_B caseolyticus
Bordetella holmesii
Phocaeicola dorei
Mycoplasmopsis agalactiae
Streptomyces anthocyanicus
Salinibacter ruber
Streptococcus oralis
Pseudomonas_E sp005938045
Colwellia psychrerythraea_A
Burkholderia ambifaria
Listeria_A booriae
Serratia entomophila
Listeria grayi
Neisseria flavescens
Campylobacter hyointestinalis
Bifidobacterium infantis
Porphyromonas gingivalis
Mesomycoplasma hyorhinis
Stenotrophomonas pavanii
Clostridium chauvoei
Lactobacillus crispatus
Nocardia cyriacigeorgica
Xanthomonas phaseoli
Yersinia intermedia
Bacillus licheniformis
Enterococcus_B pernyi
Clostridium_F sporogenes
Klebsiella terrigena
Ruegeria_B pomeroyi
Protochlamydia amoebophila
Phaeobacter inhibens
Enterobacter chengduensis
Pseudonocardia sp001294645
Mycobacterium fortuitum
Rhizobium leguminosarum
Aeromonas enteropelogenes
Thermoanaerobacterium aotearoense
Pseudomonas_E juntendi
Vibrio splendidus
Streptococcus anginosus
Lactobacillus helveticus
Acinetobacter bereziniae
Klebsiella africana
Acinetobacter johnsonii
Serratia_J liquefaciens
Staphylococcus ureilyticus
Campylobacter_D lari_C
Nitratidesulfovibrio vulgaris
Acinetobacter ursingii
Stenotrophomonas maltophilia_AJ
Burkholderia stabilis
Tenacibaculum finnmarkense_A
Clostridium butyricum
Xanthomonas arboricola
Haemophilus seminalis
Enterococcus_B mundtii
Mycoplasmoides gallisepticum
Coxiella burnetii
Sphingomonas sp024072375
Corynebacterium pseudodiphtheriticum
Corynebacterium jeikeium_C
Metamycoplasma hominis
Pectobacterium brasiliense
Hafnia alvei
Bordetella hinzii
Rhizobium rhizogenes
Agrobacterium fabacearum
Providencia rettgeri_D
Arthrobacter sp002008315
Sulfitobacter mediterraneus
Mesorhizobium sp006442685
Enterobacter sichuanensis
Lactobacillus gasseri
Pseudomonas_E shahriarae
Staphylococcus delphini
Burkholderia sp002223185
Helicobacter_C cinaedi
Campylobacter_D lari_D
Vibrio crassostreae
Pseudomonas_E syringae_M
Vibrio mimicus
Micromonospora arenicola
Yersinia massiliensis
Staphylococcus borealis
Stenotrophomonas indicatrix
Yersinia alsatica
Thermus thermophilus
Pseudomonas_E viridiflava
Akkermansia sp004167605
Citrobacter gillenii
Pseudomonas_F otitidis
Staphylococcus cohnii
Campylobacter sp002139915
Chlamydophila pecorum
Citrobacter europaeus
Vibrio harveyi
Lactiplantibacillus pentosus
Limosilactobacillus mucosae
Neisseria perflava
Enterobacter asburiae
Enterococcus_D innesii
Paraclostridium sordellii
Achromobacter ruhlandii
Photorhabdus bodei
Vibrio owensii
Erwinia tracheiphila
Mycoplasmopsis_A anserisalpingitidis
Sphingomonas sp001421535
Tatlockia micdadei
Pseudomonas_E amygdali
Chlamydophila abortus
Burkholderia thailandensis
Vibrio aestuarianus
Leptospira kirschneri
Stenotrophomonas maltophilia_Q
Limosilactobacillus reuteri_E
Acinetobacter haemolyticus
Pedobacter sp005938645
Mammaliicoccus lentus
Haemophilus_D parainfluenzae_J
Neisseria elongata
Sphingomonas aerolata
Streptococcus sanguinis
